ds,all_day_bing_tiles_visited_relative_change
2022-03-29,-0.21943944444444444
2022-03-30,-0.22563333333333332
2022-03-31,-0.22217222222222222
2022-04-01,-0.2264188888888889
2022-04-02,-0.2376177777777778
2022-04-03,-0.31005055555555555
2022-04-04,-0.23120277777777776
2022-04-05,-0.22026444444444446
2022-04-06,-0.19114833333333334
2022-04-07,-0.18265333333333333
2022-04-08,-0.20641444444444446
2022-04-09,-0.20233722222222222
2022-04-10,-0.23770555555555553
2022-04-11,-0.2007861111111111
2022-04-12,-0.2086738888888889
2022-04-13,-0.17793444444444445
2022-04-14,-0.2639738888888889
2022-04-15,-0.3467561111111111
2022-04-16,-0.18748777777777778
2022-04-17,-0.20064055555555557
2022-04-18,-0.24186555555555556
2022-04-19,-0.19542
2022-04-20,-0.22829388888888888
2022-04-21,-0.21755444444444447
2022-04-22,-0.22749000000000003
2022-04-23,-0.2840772222222222
2022-04-24,-0.2859527777777778
2022-04-25,-0.18227333333333334
2022-04-26,-0.18206555555555556
2022-04-27,-0.20790055555555556
2022-04-28,-0.21526888888888887
2022-04-29,-0.21080500000000002
2022-04-30,-0.18129277777777777
2022-05-01,-0.1983272222222222
2022-05-02,-0.24946944444444444
2022-05-03,-0.19226722222222223
2022-05-04,-0.1827022222222222
2022-05-05,-0.17748722222222224
2022-05-06,-0.18180166666666667
2022-05-07,-0.17684833333333333
2022-05-08,-0.2128172222222222
2022-05-09,-0.16373000000000001
2022-05-10,-0.15680833333333333
2022-05-11,-0.16982333333333333
2022-05-12,-0.17799777777777778
2022-05-13,-0.19004944444444444
2022-05-14,-0.1917677777777778
2022-05-15,-0.23281222222222223
2022-05-16,-0.17830333333333334
2022-05-17,-0.1713061111111111
2022-05-18,-0.16784444444444444
2022-05-19,-0.1722677777777778
2022-05-20,-0.18629333333333334
2022-05-21,-0.19250444444444445
2022-05-22,-0.24526833333333334
